sensor_type,bacon_id,toast_id,sensor_channel,sensor_id,unixTS,isoTS,date,time,voltage,tsQuality
33,0x0400000000000012,0x0600000000000012,2,18,1599771451.51,2020-09-10 16:57:31,2020-09-10,16:57:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599773251.16,2020-09-10 17:27:31,2020-09-10,17:27:31,1.4948,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599779851.28,2020-09-10 19:17:31,2020-09-10,19:17:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599781051.30,2020-09-10 19:37:31,2020-09-10,19:37:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599782851.33,2020-09-10 20:07:31,2020-09-10,20:07:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599785251.37,2020-09-10 20:47:31,2020-09-10,20:47:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599785851.37,2020-09-10 20:57:31,2020-09-10,20:57:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599787651.41,2020-09-10 21:27:31,2020-09-10,21:27:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599788851.44,2020-09-10 21:47:31,2020-09-10,21:47:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599789451.43,2020-09-10 21:57:31,2020-09-10,21:57:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599790051.44,2020-09-10 22:07:31,2020-09-10,22:07:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599790651.45,2020-09-10 22:17:31,2020-09-10,22:17:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599794251.53,2020-09-10 23:17:31,2020-09-10,23:17:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599794851.53,2020-09-10 23:27:31,2020-09-10,23:27:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599795451.54,2020-09-10 23:37:31,2020-09-10,23:37:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599796051.55,2020-09-10 23:47:31,2020-09-10,23:47:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599797851.59,2020-09-11 00:17:31,2020-09-11,00:17:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599799051.61,2020-09-11 00:37:31,2020-09-11,00:37:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599799651.61,2020-09-11 00:47:31,2020-09-11,00:47:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599800251.62,2020-09-11 00:57:31,2020-09-11,00:57:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599803251.69,2020-09-11 01:47:31,2020-09-11,01:47:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599805051.72,2020-09-11 02:17:31,2020-09-11,02:17:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599810451.81,2020-09-11 03:47:31,2020-09-11,03:47:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599812251.84,2020-09-11 04:17:31,2020-09-11,04:17:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599812851.84,2020-09-11 04:27:31,2020-09-11,04:27:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599814051.87,2020-09-11 04:47:31,2020-09-11,04:47:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599815851.91,2020-09-11 05:17:31,2020-09-11,05:17:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599816451.90,2020-09-11 05:27:31,2020-09-11,05:27:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599820051.98,2020-09-11 06:27:31,2020-09-11,06:27:31,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599820651.98,2020-09-11 06:37:31,2020-09-11,06:37:31,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599822452.02,2020-09-11 07:07:32,2020-09-11,07:07:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599823652.04,2020-09-11 07:27:32,2020-09-11,07:27:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599824252.04,2020-09-11 07:37:32,2020-09-11,07:37:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599824852.05,2020-09-11 07:47:32,2020-09-11,07:47:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599826052.08,2020-09-11 08:07:32,2020-09-11,08:07:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599827852.11,2020-09-11 08:37:32,2020-09-11,08:37:32,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599828452.11,2020-09-11 08:47:32,2020-09-11,08:47:32,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599829052.12,2020-09-11 08:57:32,2020-09-11,08:57:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599830252.16,2020-09-11 09:17:32,2020-09-11,09:17:32,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599831452.18,2020-09-11 09:37:32,2020-09-11,09:37:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599832052.17,2020-09-11 09:47:32,2020-09-11,09:47:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599832652.18,2020-09-11 09:57:32,2020-09-11,09:57:32,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599833852.22,2020-09-11 10:17:32,2020-09-11,10:17:32,1.4966,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599835052.24,2020-09-11 10:37:32,2020-09-11,10:37:32,1.4960,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599835652.24,2020-09-11 10:47:32,2020-09-11,10:47:32,1.4954,1.0000
33,0x0400000000000012,0x0600000000000012,2,18,1599836252.25,2020-09-11 10:57:32,2020-09-11,10:57:32,1.4954,1.0000
